223067/518115/518968,ECU,Banco%20Pichincha%20C.A.,,MCG%20-%20Gold%20MasterCard,
223055/510312/510763/511037-511038/511285/511339/511363/511463-511464/511632/511636-511638/511644-511645/511755/511769/511874/511956/512780/514391/514498-514501/514539/515100/515526-515527/515913-515914/516504-516505/517108-517109/517152/517199/519186/520822/521669/522564/522690-522691/523836-523837/524657-524658/525815/529073/529217/529388-529389/532789-532792/532946/533256/533258-533259/534043/534838-534839/534932-534934/534937-534938/539180-539182/539482/541149-541152/541379/550492/554989-554992/555767-555768/557933/559848-559852/559970,USA,Computer%20Services%2C%20Inc.,,MHH-MasterCard%20HSA%20Non-substantiated,
223108,COL,BANCO%20UNION%20S.A.,,MDS%20%20-Debit%20MasterCard,
223109-223110/250048/520156,BRA,Banco%20de%20Brasilia%20S.A.,,MCG%20-%20Gold%20MasterCard,
223111-223112/529861-529863/535016/546997,BRA,Will%20Financeira%20S.A.%20Credito%2C%20Financiamento%20E%20Investimento,,MCS%20-%20Mastercard%20Standard,
223113,BRA,Banco%20BTG%20Pactual%20SA,,MCG%20-%20Gold%20MasterCard,
223120-223121/271941-271977,BRA,CSU%20CARDSYSTEM%20SA,,MRW%20-%20Prepaid%20MasterCard%20BusinessCard%20Card,
223114/250049-250050/250065-250067/515084-515086/516069/522073-522074/554773,BRA,Banco%20de%20Brasilia%20S.A.,,MCS%20-%20Mastercard%20Standard,
223122-223125/231032/271767-271795/271931-271940,BRA,CSU%20CARDSYSTEM%20SA,,MRG%20-%20Prepaid%20MasterCard%20Card,
223126-223134/250042/271801-271831/540905-540906,BRA,Banco%20Pan%20SA,,MCG%20-%20Gold%20MasterCard,
223117-223118/234032-234035/250064/522731-522733,BRA,ACG%20Institui%C3%A7%C3%A3o%20de%20Pagamento%20S.A,,MLB-MasterCard%20Brazil%20Prepaid%20Benefits,
223119,CHE,Worldline%20Schweiz%20AG,,PVL%20-%20Private%20Label,
223135,GBR,Crunch%20Payments%20Limited%20,,PVL%20-%20Private%20Label,
223136-223141,URY,Banco%20Republica%20Oriental%20del%20Uruguay,,MDS%20%20-Debit%20MasterCard,
223143-223150/512834/550480-550485,ARG,Credencial%20Argentina%20SA,,MRG%20-%20Prepaid%20MasterCard%20Card,
223151-223155/536323/552432,KOR,BC%20Card%20Co.%2C%20Ltd.,,MCW%20-%20World%20MasterCard%20Card,
223156-223175/223195-223200/223301-223306,AUS,EonX%20Corporation%20,,PVL%20-%20Private%20Label,
223142,BRA,Cloudwalk%20Institui%C3%A7%C3%A3o%20de%20Pagamento%20e%20Servi%C3%A7os%20LTDA,,MPL%20-%20Platinum%20MasterCard,
223176-223184,ESP,Monavate%20Limited,,MBS%20-%20MasterCard%20B2B%20Product%201,
223185-223186/223285/527597/540883/554262/555788/558039,PRY,Bancard%2C%20S.A.,,MDS%20%20-Debit%20MasterCard,
223187-223194,MUS,Bank%20One%20Limited%20,,MDP%20-%20Debit%20Platinum%20MasterCard,
223203-223209,GBR,545490%20UK%20Limited,,PVL%20-%20Private%20Label,
223201-223202,BRB,Sagicor%20Bank%20Limited,,MDS%20%20-Debit%20MasterCard,
223218-223223,BRA,Banco%20de%20Brasilia%20S.A.,,MRW%20-%20Prepaid%20MasterCard%20BusinessCard%20Card,
223224-223225,EGY,Banque%20du%20Caire,,MRG%20-%20Prepaid%20MasterCard%20Card,
223226-223231,ARG,Prisma%20Medios%20de%20Pago%20SA,,MRG%20-%20Prepaid%20MasterCard%20Card,
223232/223328-223334/230862/512793/515064/517789/518131-518133/518141/520573/522345/529544/531952/534517-534519/538726-538727/538968/540904/542300-542303/542621/544415-544418/545062-545063,PRY,Bancard%2C%20S.A.,,MCS%20-%20Mastercard%20Standard,
